ngram,category,total_count,error_count,error_rate
hr,german-dominant,40,21,0.525
up,neutral,21,11,0.5238
wa,neutral,23,12,0.5217
eg,neutral,58,30,0.5172
ve,neutral,63,32,0.5079
wi,neutral,71,36,0.507
eq,neutral,2,1,0.5
ea,english-dominant,8,4,0.5
gk,german-dominant,2,1,0.5
ui,english-dominant,2,1,0.5
mo,neutral,8,4,0.5
rh,neutral,16,8,0.5
lp,english-dominant,4,2,0.5
fn,neutral,2,1,0.5
ia,neutral,26,13,0.5
sz,german-dominant,2,1,0.5
sg,neutral,4,2,0.5
yr,english-dominant,2,1,0.5
if,neutral,18,9,0.5
ok,neutral,4,2,0.5
mb,neutral,6,3,0.5
sd,neutral,4,2,0.5
ms,neutral,6,3,0.5
nk,german-dominant,26,13,0.5
lc,neutral,4,2,0.5
fu,neutral,4,2,0.5
cl,english-dominant,2,1,0.5
fa,neutral,22,11,0.5
of,english-dominant,8,4,0.5
ks,neutral,2,1,0.5
ih,neutral,6,3,0.5
eo,english-dominant,14,7,0.5
mp,neutral,12,6,0.5
oi,english-dominant,2,1,0.5
ph,neutral,8,4,0.5
fl,neutral,18,9,0.5
ep,neutral,8,4,0.5
nw,neutral,6,3,0.5
lr,english-dominant,2,1,0.5
bs,german-dominant,12,6,0.5
ap,english-dominant,6,3,0.5
sf,neutral,8,4,0.5
ze,german-dominant,51,25,0.4902
so,neutral,41,20,0.4878
eu,german-dominant,37,18,0.4865
un,german-dominant,301,146,0.485
ah,german-dominant,33,16,0.4848
ag,neutral,33,16,0.4848
nz,german-dominant,33,16,0.4848
ts,neutral,58,28,0.4828
hi,english-dominant,27,13,0.4815
ld,neutral,25,12,0.48
mm,neutral,48,23,0.4792
su,neutral,23,11,0.4783
gr,neutral,23,11,0.4783
ir,neutral,46,22,0.4783
ib,neutral,23,11,0.4783
um,neutral,36,17,0.4722
id,neutral,17,8,0.4706
iv,neutral,34,16,0.4706
ho,english-dominant,17,8,0.4706
da,neutral,66,31,0.4697
ht,neutral,96,45,0.4688
ak,neutral,15,7,0.4667
il,neutral,45,21,0.4667
ri,neutral,99,46,0.4646
to,english-dominant,26,12,0.4615
la,neutral,63,29,0.4603
ro,neutral,50,23,0.46
ut,neutral,48,22,0.4583
af,neutral,46,21,0.4565
tu,neutral,57,26,0.4561
ku,german-dominant,11,5,0.4545
pi,neutral,11,5,0.4545
ac,neutral,55,25,0.4545
rc,neutral,33,15,0.4545
ka,german-dominant,31,14,0.4516
ur,neutral,82,37,0.4512
sp,neutral,40,18,0.45
an,neutral,176,79,0.4489
ng,neutral,200,89,0.445
hn,german-dominant,18,8,0.4444
eb,neutral,45,20,0.4444
kl,german-dominant,18,8,0.4444
ln,neutral,9,4,0.4444
si,neutral,111,49,0.4414
ig,neutral,59,26,0.4407
lo,english-dominant,25,11,0.44
li,neutral,91,40,0.4396
na,neutral,57,25,0.4386
tl,neutral,16,7,0.4375
vi,neutral,23,10,0.4348
nf,neutral,23,10,0.4348
gi,neutral,30,13,0.4333
ra,neutral,109,47,0.4312
it,neutral,151,65,0.4305
bo,english-dominant,7,3,0.4286
tg,neutral,7,3,0.4286
sa,neutral,21,9,0.4286
se,neutral,178,76,0.427
ei,german-dominant,342,146,0.4269
ic,neutral,136,58,0.4265
ma,neutral,47,20,0.4255
ns,neutral,92,39,0.4239
we,neutral,85,36,0.4235
ar,neutral,78,33,0.4231
em,neutral,71,30,0.4225
ab,neutral,45,19,0.4222
ge,german-dominant,190,80,0.4211
or,neutral,100,42,0.42
rt,neutral,93,39,0.4194
rd,neutral,60,25,0.4167
ss,neutral,111,46,0.4144
on,neutral,145,60,0.4138
nu,german-dominant,34,14,0.4118
lb,neutral,17,7,0.4118
us,neutral,73,30,0.411
rk,german-dominant,27,11,0.4074
ne,neutral,189,76,0.4021
dl,neutral,15,6,0.4
rg,neutral,35,14,0.4
xt,neutral,5,2,0.4
qu,neutral,5,2,0.4
nt,neutral,131,52,0.3969
ch,german-dominant,458,181,0.3952
ti,neutral,147,58,0.3946
ie,german-dominant,317,125,0.3943
le,neutral,165,65,0.3939
as,neutral,94,37,0.3936
lt,neutral,61,24,0.3934
is,neutral,163,64,0.3926
nd,neutral,231,90,0.3896
br,neutral,18,7,0.3889
ob,neutral,18,7,0.3889
os,neutral,18,7,0.3889
al,neutral,106,41,0.3868
pp,neutral,13,5,0.3846
es,neutral,210,80,0.381
bl,neutral,21,8,0.381
ha,neutral,92,35,0.3804
di,neutral,108,41,0.3796
ni,neutral,74,28,0.3784
rs,neutral,77,29,0.3766
be,neutral,162,61,0.3765
lf,neutral,8,3,0.375
sc,german-dominant,158,59,0.3734
sm,neutral,11,4,0.3636
tt,neutral,33,12,0.3636
ft,neutral,47,17,0.3617
he,neutral,177,64,0.3616
ba,neutral,25,9,0.36
ot,english-dominant,28,10,0.3571
el,neutral,166,59,0.3554
od,neutral,31,11,0.3548
am,neutral,48,17,0.3542
fr,neutral,17,6,0.3529
oz,german-dominant,17,6,0.3529
og,neutral,17,6,0.3529
te,neutral,355,125,0.3521
ta,neutral,57,20,0.3509
me,neutral,97,34,0.3505
in,neutral,303,105,0.3465
re,neutral,177,61,0.3446
tr,neutral,62,21,0.3387
st,neutral,190,64,0.3368
go,english-dominant,3,1,0.3333
ds,neutral,3,1,0.3333
ym,english-dominant,3,1,0.3333
pe,neutral,39,13,0.3333
nc,english-dominant,3,1,0.3333
pf,german-dominant,6,2,0.3333
sl,neutral,6,2,0.3333
ps,english-dominant,3,1,0.3333
pt,neutral,18,6,0.3333
tm,neutral,3,1,0.3333
no,english-dominant,9,3,0.3333
hk,german-dominant,3,1,0.3333
ub,neutral,9,3,0.3333
rr,neutral,9,3,0.3333
ul,english-dominant,15,5,0.3333
ed,neutral,54,18,0.3333
tb,neutral,9,3,0.3333
tf,neutral,6,2,0.3333
er,neutral,656,214,0.3262
de,german-dominant,322,103,0.3199
ll,neutral,95,30,0.3158
fo,english-dominant,10,3,0.3
at,neutral,117,35,0.2991
hs,neutral,24,7,0.2917
mi,neutral,55,16,0.2909
en,german-dominant,743,213,0.2867
gl,neutral,14,4,0.2857
hw,neutral,7,2,0.2857
io,neutral,70,20,0.2857
sw,neutral,7,2,0.2857
bu,neutral,14,4,0.2857
op,neutral,7,2,0.2857
fs,neutral,7,2,0.2857
ls,neutral,32,9,0.2812
et,neutral,77,20,0.2597
ki,neutral,4,1,0.25
wo,neutral,12,3,0.25
ip,neutral,8,2,0.25
sv,german-dominant,5,1,0.2
tv,german-dominant,5,1,0.2
rm,neutral,21,4,0.1905
th,english-dominant,23,4,0.1739
oo,english-dominant,6,1,0.1667
ce,english-dominant,6,1,0.1667
rn,neutral,30,5,0.1667
rw,neutral,15,2,0.1333
ud,neutral,16,2,0.125
ys,neutral,17,2,0.1176
nb,neutral,10,1,0.1
sy,neutral,12,1,0.0833
ow,english-dominant,1,0,0.0
gp,neutral,1,0,0.0
km,german-dominant,2,0,0.0
fz,german-dominant,1,0,0.0
sh,english-dominant,1,0,0.0
rp,neutral,2,0,0.0
hf,neutral,1,0,0.0
fb,neutral,1,0,0.0
kb,neutral,1,0,0.0
ix,english-dominant,1,0,0.0
dt,english-dominant,5,0,0.0
oa,english-dominant,3,0,0.0
gw,neutral,1,0,0.0
cc,english-dominant,1,0,0.0
ty,english-dominant,6,0,0.0
ev,neutral,2,0,0.0
ci,english-dominant,2,0,0.0
lk,neutral,1,0,0.0
tn,neutral,4,0,0.0
nm,neutral,1,0,0.0
mw,neutral,1,0,0.0
tk,german-dominant,1,0,0.0
dy,english-dominant,1,0,0.0
ou,english-dominant,6,0,0.0
ca,english-dominant,2,0,0.0
bn,german-dominant,2,0,0.0
mz,german-dominant,1,0,0.0
bc,neutral,2,0,0.0
zm,german-dominant,1,0,0.0
zy,neutral,1,0,0.0
