ngram,category,total_count,error_count,error_rate
rs,neutral,105,21,0.2
cm,english-dominant,5,1,0.2
uf,german-dominant,5,1,0.2
bj,neutral,5,1,0.2
tr,neutral,106,21,0.1981
in,neutral,689,136,0.1974
ex,neutral,56,11,0.1964
ss,neutral,97,19,0.1959
le,neutral,252,49,0.1944
he,neutral,998,194,0.1944
ol,neutral,93,18,0.1935
de,german-dominant,203,39,0.1921
xp,neutral,21,4,0.1905
up,neutral,37,7,0.1892
ed,neutral,358,67,0.1872
bl,neutral,71,13,0.1831
pu,neutral,22,4,0.1818
ge,german-dominant,121,22,0.1818
lk,neutral,11,2,0.1818
ie,german-dominant,111,20,0.1802
be,neutral,184,33,0.1793
wo,neutral,67,12,0.1791
ll,neutral,162,28,0.1728
ip,neutral,29,5,0.1724
ng,neutral,345,59,0.171
og,neutral,12,2,0.1667
iz,neutral,6,1,0.1667
gt,neutral,6,1,0.1667
um,neutral,30,5,0.1667
ot,english-dominant,133,22,0.1654
pt,neutral,32,5,0.1562
op,neutral,75,11,0.1467
ze,german-dominant,7,1,0.1429
ei,german-dominant,53,7,0.1321
dy,english-dominant,17,2,0.1176
rp,neutral,9,1,0.1111
xt,neutral,18,2,0.1111
ah,german-dominant,10,1,0.1
ph,neutral,10,1,0.1
eh,neutral,11,1,0.0909
np,neutral,1,0,0.0
pb,neutral,1,0,0.0
aj,english-dominant,2,0,0.0
yd,english-dominant,3,0,0.0
py,neutral,2,0,0.0
dc,english-dominant,2,0,0.0
tp,neutral,1,0,0.0
ko,german-dominant,2,0,0.0
nr,neutral,2,0,0.0
lw,neutral,3,0,0.0
sb,neutral,2,0,0.0
dm,english-dominant,4,0,0.0
zo,german-dominant,1,0,0.0
oz,german-dominant,1,0,0.0
ax,neutral,4,0,0.0
ox,neutral,6,0,0.0
yy,english-dominant,1,0,0.0
dg,neutral,9,0,0.0
cq,english-dominant,1,0,0.0
xy,neutral,1,0,0.0
ja,german-dominant,3,0,0.0
wy,english-dominant,2,0,0.0
yl,english-dominant,1,0,0.0
yc,english-dominant,1,0,0.0
uy,english-dominant,1,0,0.0
lp,english-dominant,7,0,0.0
ix,english-dominant,5,0,0.0
ji,english-dominant,1,0,0.0
zz,neutral,2,0,0.0
nq,neutral,1,0,0.0
nh,neutral,2,0,0.0
zl,german-dominant,2,0,0.0
mf,neutral,2,0,0.0
mn,neutral,1,0,0.0
wu,german-dominant,1,0,0.0
kc,neutral,1,0,0.0
dq,english-dominant,1,0,0.0
yg,english-dominant,1,0,0.0
wk,english-dominant,1,0,0.0
dw,neutral,1,0,0.0
pz,english-dominant,1,0,0.0
yn,neutral,1,0,0.0
wm,english-dominant,1,0,0.0
kr,german-dominant,1,0,0.0
gm,neutral,2,0,0.0
zn,neutral,1,0,0.0
oh,neutral,1,0,0.0
sr,neutral,2,0,0.0
hc,english-dominant,1,0,0.0
wf,english-dominant,1,0,0.0
bn,german-dominant,1,0,0.0
