ngram,category,total_count,error_count,error_rate
omv,neutral,1,1,1.0
eux,english-dominant,3,3,1.0
reu,neutral,3,3,1.0
bol,neutral,1,1,1.0
eds,english-dominant,1,1,1.0
nli,german-dominant,1,1,1.0
dle,neutral,2,2,1.0
edl,neutral,1,1,1.0
iny,english-dominant,1,1,1.0
rgo,neutral,1,1,1.0
boy,english-dominant,4,4,1.0
nby,english-dominant,3,3,1.0
onb,neutral,3,3,1.0
yal,english-dominant,2,2,1.0
oya,english-dominant,2,2,1.0
gav,english-dominant,1,1,1.0
epe,neutral,2,2,1.0
dep,english-dominant,1,1,1.0
dio,neutral,1,1,1.0
erk,german-dominant,1,1,1.0
cui,english-dominant,1,1,1.0
sod,neutral,1,1,1.0
wly,english-dominant,1,1,1.0
ewl,english-dominant,1,1,1.0
cad,neutral,1,1,1.0
eek,english-dominant,6,6,1.0
cky,english-dominant,1,1,1.0
pia,english-dominant,1,1,1.0
els,neutral,1,1,1.0
isl,english-dominant,1,1,1.0
ehe,neutral,1,1,1.0
reh,english-dominant,1,1,1.0
pno,english-dominant,1,1,1.0
ypn,english-dominant,1,1,1.0
hyp,neutral,1,1,1.0
enr,german-dominant,1,1,1.0
ods,english-dominant,1,1,1.0
rik,german-dominant,1,1,1.0
urk,neutral,2,2,1.0
fev,neutral,1,1,1.0
fsh,english-dominant,1,1,1.0
ffs,neutral,1,1,1.0
nei,german-dominant,1,1,1.0
oer,neutral,1,1,1.0
itl,neutral,1,1,1.0
awn,english-dominant,2,2,1.0
daw,english-dominant,1,1,1.0
twi,neutral,1,1,1.0
wok,english-dominant,1,1,1.0
sty,english-dominant,2,2,1.0
uta,english-dominant,1,1,1.0
gau,neutral,1,1,1.0
lav,english-dominant,3,3,1.0
kab,neutral,2,2,1.0
rka,neutral,2,2,1.0
dve,german-dominant,1,1,1.0
gio,german-dominant,1,1,1.0
zig,english-dominant,1,1,1.0
pzi,english-dominant,1,1,1.0
doo,english-dominant,1,1,1.0
eva,neutral,1,1,1.0
aev,english-dominant,1,1,1.0
iae,english-dominant,1,1,1.0
nur,german-dominant,1,1,1.0
nuo,english-dominant,1,1,1.0
uty,english-dominant,1,1,1.0
dut,english-dominant,1,1,1.0
hbo,english-dominant,1,1,1.0
ghb,english-dominant,1,1,1.0
lta,neutral,1,1,1.0
olt,neutral,1,1,1.0
git,neutral,1,1,1.0
nar,neutral,3,3,1.0
liu,neutral,1,1,1.0
fet,english-dominant,1,1,1.0
afe,neutral,2,2,1.0
saf,english-dominant,2,2,1.0
hac,english-dominant,1,1,1.0
ias,english-dominant,4,4,1.0
hia,english-dominant,1,1,1.0
cio,english-dominant,2,2,1.0
nsc,german-dominant,2,2,1.0
ugn,neutral,1,1,1.0
tau,german-dominant,1,1,1.0
job,neutral,1,1,1.0
bak,neutral,1,1,1.0
tue,neutral,1,1,1.0
hoe,english-dominant,1,1,1.0
yan,english-dominant,1,1,1.0
rya,english-dominant,1,1,1.0
efs,english-dominant,1,1,1.0
wlo,english-dominant,1,1,1.0
nov,neutral,1,1,1.0
dib,english-dominant,1,1,1.0
lmo,english-dominant,1,1,1.0
ibb,english-dominant,1,1,1.0
wep,english-dominant,2,2,1.0
sex,english-dominant,1,1,1.0
kid,english-dominant,1,1,1.0
rdb,neutral,1,1,1.0
sda,neutral,1,1,1.0
nsd,neutral,1,1,1.0
ncu,english-dominant,1,1,1.0
urt,neutral,5,5,1.0
awa,english-dominant,6,6,1.0
eom,english-dominant,1,1,1.0
yeo,english-dominant,1,1,1.0
gow,english-dominant,2,2,1.0
sgo,english-dominant,2,2,1.0
oak,neutral,1,1,1.0
idg,english-dominant,2,2,1.0
ubs,neutral,1,1,1.0
ugy,english-dominant,3,3,1.0
pug,english-dominant,1,1,1.0
epu,english-dominant,1,1,1.0
usp,neutral,1,1,1.0
wom,english-dominant,2,2,1.0
ybe,english-dominant,1,1,1.0
ayi,english-dominant,1,1,1.0
ffa,neutral,1,1,1.0
phi,english-dominant,2,2,1.0
oca,english-dominant,1,1,1.0
voc,english-dominant,1,1,1.0
dvo,german-dominant,1,1,1.0
agu,neutral,1,1,1.0
eag,english-dominant,1,1,1.0
roi,english-dominant,1,1,1.0
nim,german-dominant,1,1,1.0
erp,neutral,1,1,1.0
dke,neutral,1,1,1.0
ndk,german-dominant,1,1,1.0
tid,neutral,1,1,1.0
flu,german-dominant,2,2,1.0
ncs,neutral,1,1,1.0
ilk,neutral,1,1,1.0
onn,neutral,1,1,1.0
coi,english-dominant,1,1,1.0
ico,english-dominant,1,1,1.0
erb,german-dominant,1,1,1.0
edn,english-dominant,1,1,1.0
oje,german-dominant,1,1,1.0
roj,german-dominant,1,1,1.0
ohn,neutral,1,1,1.0
ilo,english-dominant,1,1,1.0
elo,english-dominant,3,3,1.0
fur,english-dominant,2,2,1.0
bar,german-dominant,2,2,1.0
cuf,english-dominant,1,1,1.0
wir,german-dominant,1,1,1.0
rmy,english-dominant,1,1,1.0
xpo,neutral,1,1,1.0
few,english-dominant,1,1,1.0
mpm,english-dominant,1,1,1.0
psy,english-dominant,2,2,1.0
yps,neutral,1,1,1.0
gyp,neutral,1,1,1.0
sas,english-dominant,1,1,1.0
viv,english-dominant,1,1,1.0
nsh,english-dominant,3,3,1.0
ayo,english-dominant,1,1,1.0
aux,english-dominant,1,1,1.0
deq,english-dominant,2,2,1.0
joi,english-dominant,1,1,1.0
ejo,english-dominant,1,1,1.0
rej,english-dominant,1,1,1.0
kal,german-dominant,1,1,1.0
cka,neutral,1,1,1.0
eto,english-dominant,2,2,1.0
uou,english-dominant,2,2,1.0
cuo,english-dominant,1,1,1.0
nil,english-dominant,1,1,1.0
kjo,english-dominant,1,1,1.0
skj,english-dominant,1,1,1.0
saw,english-dominant,1,1,1.0
rtr,german-dominant,1,1,1.0
luc,neutral,1,1,1.0
leg,neutral,4,4,1.0
hok,neutral,1,1,1.0
dev,english-dominant,3,3,1.0
xce,english-dominant,4,4,1.0
doi,english-dominant,4,4,1.0
pru,neutral,1,1,1.0
alb,neutral,1,1,1.0
goe,neutral,1,1,1.0
gel,german-dominant,3,3,1.0
iam,english-dominant,1,1,1.0
lil,english-dominant,1,1,1.0
uac,english-dominant,1,1,1.0
rcl,english-dominant,1,1,1.0
atl,neutral,2,2,1.0
mbr,neutral,3,3,1.0
ege,german-dominant,1,1,1.0
elu,neutral,1,1,1.0
eny,english-dominant,1,1,1.0
lry,english-dominant,1,1,1.0
elr,neutral,1,1,1.0
tsm,neutral,1,1,1.0
esq,english-dominant,1,1,1.0
fus,english-dominant,2,2,1.0
fau,neutral,1,1,1.0
kle,german-dominant,1,1,1.0
lms,english-dominant,2,2,1.0
blu,neutral,1,1,1.0
stp,neutral,1,1,1.0
sad,english-dominant,1,1,1.0
isn,english-dominant,1,1,1.0
afl,english-dominant,1,1,1.0
lyi,english-dominant,1,1,1.0
poo,english-dominant,1,1,1.0
awe,english-dominant,1,1,1.0
cca,english-dominant,1,1,1.0
hua,english-dominant,3,3,1.0
osh,english-dominant,3,3,1.0
bov,english-dominant,4,4,1.0
oga,neutral,1,1,1.0
fif,english-dominant,5,5,1.0
inu,neutral,2,2,1.0
lbo,english-dominant,2,2,1.0
elb,german-dominant,1,1,1.0
rwl,english-dominant,1,1,1.0
grw,english-dominant,1,1,1.0
rew,english-dominant,5,5,1.0
loa,english-dominant,2,2,1.0
cab,english-dominant,1,1,1.0
bvi,english-dominant,4,4,1.0
hec,english-dominant,1,1,1.0
toe,english-dominant,1,1,1.0
kep,english-dominant,2,2,1.0
oof,english-dominant,2,2,1.0
rby,english-dominant,1,1,1.0
egn,neutral,1,1,1.0
jea,english-dominant,1,1,1.0
sip,english-dominant,1,1,1.0
syc,english-dominant,1,1,1.0
ley,english-dominant,1,1,1.0
fid,english-dominant,1,1,1.0
iol,english-dominant,1,1,1.0
moc,english-dominant,1,1,1.0
tso,neutral,1,1,1.0
ido,english-dominant,1,1,1.0
wid,neutral,1,1,1.0
shy,english-dominant,1,1,1.0
nje,german-dominant,1,1,1.0
jur,neutral,1,1,1.0
uva,neutral,1,1,1.0
ouv,neutral,1,1,1.0
avy,english-dominant,1,1,1.0
hst,german-dominant,1,1,1.0
ald,neutral,2,2,1.0
sil,english-dominant,4,4,1.0
lur,neutral,1,1,1.0
ilu,german-dominant,1,1,1.0
wma,english-dominant,1,1,1.0
mle,german-dominant,1,1,1.0
aml,english-dominant,1,1,1.0
dbe,english-dominant,1,1,1.0
odb,english-dominant,1,1,1.0
anu,neutral,2,2,1.0
kfu,neutral,1,1,1.0
nkf,neutral,1,1,1.0
shn,english-dominant,1,1,1.0
ocr,english-dominant,2,2,1.0
sub,neutral,4,4,1.0
hak,neutral,2,2,1.0
niu,english-dominant,1,1,1.0
uzz,english-dominant,1,1,1.0
puz,english-dominant,1,1,1.0
xit,english-dominant,1,1,1.0
nub,english-dominant,1,1,1.0
snu,neutral,1,1,1.0
onw,english-dominant,2,2,1.0
tco,english-dominant,1,1,1.0
utc,english-dominant,1,1,1.0
gor,neutral,1,1,1.0
ggl,neutral,1,1,1.0
wag,english-dominant,1,1,1.0
giu,english-dominant,1,1,1.0
lgi,neutral,1,1,1.0
xfo,english-dominant,1,1,1.0
yma,english-dominant,1,1,1.0
obt,english-dominant,1,1,1.0
gfe,neutral,1,1,1.0
ngf,neutral,1,1,1.0
mug,english-dominant,1,1,1.0
cry,english-dominant,1,1,1.0
rok,neutral,1,1,1.0
lpl,english-dominant,1,1,1.0
rha,neutral,2,2,1.0
uga,neutral,1,1,1.0
mok,neutral,2,2,1.0
aym,english-dominant,1,1,1.0
ipe,neutral,1,1,1.0
ubb,english-dominant,2,2,1.0
osa,english-dominant,1,1,1.0
uck,neutral,2,2,1.0
mia,english-dominant,1,1,1.0
rle,neutral,1,1,1.0
eki,neutral,1,1,1.0
igs,neutral,2,2,1.0
ety,english-dominant,4,4,1.0
ewd,english-dominant,1,1,1.0
asm,neutral,2,2,1.0
wiv,english-dominant,1,1,1.0
ccr,english-dominant,1,1,1.0
sce,english-dominant,2,2,1.0
yba,english-dominant,1,1,1.0
mam,neutral,4,4,1.0
utu,neutral,2,2,1.0
fut,english-dominant,1,1,1.0
bta,neutral,1,1,1.0
azz,neutral,1,1,1.0
pho,neutral,1,1,1.0
baf,english-dominant,1,1,1.0
bst,german-dominant,1,1,1.0
ggy,english-dominant,1,1,1.0
aca,english-dominant,1,1,1.0
vac,english-dominant,1,1,1.0
deb,neutral,1,1,1.0
niz,english-dominant,1,1,1.0
lva,english-dominant,1,1,1.0
alv,neutral,1,1,1.0
gal,neutral,1,1,1.0
fyy,english-dominant,1,1,1.0
orf,neutral,2,2,1.0
lec,neutral,5,5,1.0
yed,english-dominant,1,1,1.0
eil,german-dominant,1,1,1.0
gno,neutral,1,1,1.0
rue,english-dominant,1,1,1.0
cig,english-dominant,1,1,1.0
kew,english-dominant,1,1,1.0
kit,english-dominant,1,1,1.0
fyi,english-dominant,1,1,1.0
ify,english-dominant,1,1,1.0
lre,english-dominant,2,2,1.0
alr,english-dominant,2,2,1.0
egs,neutral,1,1,1.0
raw,english-dominant,2,2,1.0
daz,neutral,1,1,1.0
eti,neutral,11,10,0.9091
tak,english-dominant,11,10,0.9091
uth,english-dominant,8,7,0.875
rio,neutral,7,6,0.8571
dow,english-dominant,14,12,0.8571
sug,english-dominant,7,6,0.8571
law,english-dominant,6,5,0.8333
erl,german-dominant,6,5,0.8333
ete,neutral,6,5,0.8333
vio,english-dominant,6,5,0.8333
fai,english-dominant,6,5,0.8333
ngu,neutral,6,5,0.8333
iva,neutral,5,4,0.8
oub,english-dominant,5,4,0.8
sso,neutral,5,4,0.8
orr,english-dominant,5,4,0.8
uff,neutral,5,4,0.8
rul,english-dominant,5,4,0.8
col,english-dominant,5,4,0.8
inn,neutral,5,4,0.8
oar,english-dominant,5,4,0.8
ews,english-dominant,5,4,0.8
ske,neutral,5,4,0.8
cel,english-dominant,5,4,0.8
lti,neutral,5,4,0.8
arm,neutral,14,11,0.7857
iou,english-dominant,14,11,0.7857
new,english-dominant,13,10,0.7692
ana,neutral,4,3,0.75
oci,english-dominant,8,6,0.75
gui,english-dominant,4,3,0.75
aud,neutral,4,3,0.75
ttl,english-dominant,8,6,0.75
gua,english-dominant,4,3,0.75
aye,english-dominant,4,3,0.75
ief,neutral,4,3,0.75
lop,english-dominant,4,3,0.75
poi,english-dominant,4,3,0.75
nai,neutral,4,3,0.75
avi,english-dominant,12,9,0.75
aki,english-dominant,4,3,0.75
oro,english-dominant,4,3,0.75
rry,english-dominant,4,3,0.75
rid,english-dominant,4,3,0.75
aff,neutral,4,3,0.75
due,neutral,4,3,0.75
hit,english-dominant,4,3,0.75
arb,german-dominant,4,3,0.75
icy,english-dominant,4,3,0.75
udy,english-dominant,4,3,0.75
nad,neutral,4,3,0.75
dec,neutral,12,9,0.75
ola,neutral,4,3,0.75
bel,neutral,4,3,0.75
dex,neutral,4,3,0.75
tis,neutral,11,8,0.7273
soc,english-dominant,7,5,0.7143
own,english-dominant,42,30,0.7143
tud,german-dominant,7,5,0.7143
ici,english-dominant,10,7,0.7
ndu,neutral,10,7,0.7
lla,english-dominant,10,7,0.7
arr,english-dominant,16,11,0.6875
ayb,english-dominant,3,2,0.6667
ths,english-dominant,3,2,0.6667
lov,english-dominant,6,4,0.6667
ubj,english-dominant,3,2,0.6667
asu,english-dominant,3,2,0.6667
tti,english-dominant,6,4,0.6667
iel,german-dominant,3,2,0.6667
kel,neutral,3,2,0.6667
ads,english-dominant,3,2,0.6667
mmo,english-dominant,6,4,0.6667
rra,neutral,6,4,0.6667
aps,english-dominant,3,2,0.6667
agg,neutral,3,2,0.6667
aso,english-dominant,6,4,0.6667
rus,english-dominant,3,2,0.6667
amb,english-dominant,6,4,0.6667
eof,english-dominant,3,2,0.6667
afr,neutral,3,2,0.6667
ees,neutral,3,2,0.6667
wav,english-dominant,3,2,0.6667
ryw,english-dominant,3,2,0.6667
cep,english-dominant,6,4,0.6667
war,neutral,9,6,0.6667
ywh,english-dominant,3,2,0.6667
ruc,neutral,3,2,0.6667
rms,english-dominant,3,2,0.6667
foo,english-dominant,3,2,0.6667
mou,english-dominant,12,8,0.6667
ute,neutral,3,2,0.6667
hur,english-dominant,6,4,0.6667
odu,neutral,3,2,0.6667
nki,neutral,3,2,0.6667
lay,english-dominant,9,6,0.6667
coo,english-dominant,3,2,0.6667
omo,neutral,6,4,0.6667
ghl,english-dominant,3,2,0.6667
pme,english-dominant,3,2,0.6667
ugs,neutral,3,2,0.6667
lud,english-dominant,3,2,0.6667
ncl,english-dominant,3,2,0.6667
clu,english-dominant,3,2,0.6667
typ,neutral,3,2,0.6667
hoo,english-dominant,6,4,0.6667
ubl,english-dominant,6,4,0.6667
nom,neutral,3,2,0.6667
ata,english-dominant,3,2,0.6667
nuc,english-dominant,3,2,0.6667
ecu,english-dominant,6,4,0.6667
urf,neutral,3,2,0.6667
rfa,neutral,3,2,0.6667
sys,german-dominant,3,2,0.6667
ocu,english-dominant,3,2,0.6667
orw,english-dominant,3,2,0.6667
inv,neutral,3,2,0.6667
ryi,english-dominant,6,4,0.6667
det,neutral,6,4,0.6667
eye,english-dominant,6,4,0.6667
vil,english-dominant,3,2,0.6667
dir,neutral,3,2,0.6667
fec,english-dominant,9,6,0.6667
eau,german-dominant,3,2,0.6667
lki,english-dominant,3,2,0.6667
gan,neutral,3,2,0.6667
occ,english-dominant,6,4,0.6667
run,german-dominant,3,2,0.6667
spr,german-dominant,3,2,0.6667
fas,neutral,3,2,0.6667
ius,english-dominant,3,2,0.6667
mak,english-dominant,15,10,0.6667
fle,neutral,3,2,0.6667
bbi,neutral,3,2,0.6667
eit,german-dominant,3,2,0.6667
pow,english-dominant,3,2,0.6667
nco,english-dominant,3,2,0.6667
egu,neutral,3,2,0.6667
dru,neutral,3,2,0.6667
muc,english-dominant,9,6,0.6667
rbo,neutral,3,2,0.6667
tir,english-dominant,3,2,0.6667
ows,english-dominant,3,2,0.6667
hir,neutral,3,2,0.6667
rug,english-dominant,3,2,0.6667
ian,english-dominant,12,8,0.6667
rsi,neutral,3,2,0.6667
fis,neutral,3,2,0.6667
wri,english-dominant,12,8,0.6667
sev,english-dominant,6,4,0.6667
oom,english-dominant,6,4,0.6667
ram,neutral,3,2,0.6667
fel,neutral,3,2,0.6667
gay,english-dominant,3,2,0.6667
xtu,english-dominant,3,2,0.6667
joy,english-dominant,3,2,0.6667
usy,english-dominant,3,2,0.6667
dan,english-dominant,3,2,0.6667
ngr,neutral,3,2,0.6667
agn,neutral,3,2,0.6667
nos,neutral,3,2,0.6667
sla,neutral,3,2,0.6667
ake,english-dominant,29,19,0.6552
ult,neutral,14,9,0.6429
tol,english-dominant,11,7,0.6364
nev,english-dominant,11,7,0.6364
rob,neutral,11,7,0.6364
row,english-dominant,11,7,0.6364
tai,english-dominant,22,14,0.6364
yin,english-dominant,11,7,0.6364
vel,english-dominant,11,7,0.6364
ife,english-dominant,8,5,0.625
ool,english-dominant,8,5,0.625
bus,english-dominant,8,5,0.625
oni,neutral,8,5,0.625
thu,english-dominant,8,5,0.625
exc,english-dominant,8,5,0.625
unc,english-dominant,8,5,0.625
uct,english-dominant,8,5,0.625
ccu,english-dominant,8,5,0.625
cit,english-dominant,8,5,0.625
nth,english-dominant,8,5,0.625
ces,english-dominant,29,18,0.6207
try,english-dominant,13,8,0.6154
ani,neutral,13,8,0.6154
acy,english-dominant,5,3,0.6
hip,english-dominant,5,3,0.6
boa,english-dominant,5,3,0.6
tru,neutral,10,6,0.6
fig,neutral,5,3,0.6
tif,english-dominant,5,3,0.6
ett,english-dominant,15,9,0.6
hor,neutral,10,6,0.6
nfo,neutral,5,3,0.6
mem,english-dominant,5,3,0.6
cas,neutral,10,6,0.6
iew,german-dominant,5,3,0.6
eso,neutral,5,3,0.6
shu,english-dominant,5,3,0.6
tun,german-dominant,5,3,0.6
ils,neutral,5,3,0.6
siv,neutral,5,3,0.6
jus,english-dominant,5,3,0.6
tee,neutral,5,3,0.6
hly,english-dominant,5,3,0.6
cam,neutral,5,3,0.6
oke,english-dominant,5,3,0.6
obe,neutral,5,3,0.6
tch,english-dominant,15,9,0.6
vat,neutral,5,3,0.6
cla,english-dominant,5,3,0.6
smo,english-dominant,5,3,0.6
tea,neutral,5,3,0.6
uar,english-dominant,5,3,0.6
ira,english-dominant,5,3,0.6
ril,english-dominant,5,3,0.6
abo,english-dominant,22,13,0.5909
bou,english-dominant,22,13,0.5909
loo,english-dominant,12,7,0.5833
any,english-dominant,24,14,0.5833
rly,english-dominant,12,7,0.5833
nio,english-dominant,12,7,0.5833
unt,neutral,24,14,0.5833
met,neutral,12,7,0.5833
amo,english-dominant,12,7,0.5833
eci,english-dominant,12,7,0.5833
out,english-dominant,45,26,0.5778
asi,neutral,14,8,0.5714
hre,german-dominant,7,4,0.5714
fee,english-dominant,7,4,0.5714
sly,neutral,7,4,0.5714
lim,neutral,7,4,0.5714
sym,neutral,7,4,0.5714
aut,neutral,7,4,0.5714
ism,neutral,7,4,0.5714
mme,german-dominant,7,4,0.5714
liv,english-dominant,7,4,0.5714
dia,neutral,7,4,0.5714
sia,english-dominant,7,4,0.5714
bre,neutral,7,4,0.5714
cra,english-dominant,7,4,0.5714
ond,neutral,14,8,0.5714
cou,english-dominant,35,20,0.5714
duc,english-dominant,7,4,0.5714
nto,english-dominant,14,8,0.5714
val,neutral,7,4,0.5714
fic,english-dominant,14,8,0.5714
ary,english-dominant,21,12,0.5714
usl,neutral,7,4,0.5714
hte,german-dominant,7,4,0.5714
tan,neutral,28,16,0.5714
oin,english-dominant,16,9,0.5625
lis,neutral,16,9,0.5625
you,english-dominant,48,27,0.5625
mor,english-dominant,25,14,0.56
icu,english-dominant,9,5,0.5556
ift,neutral,9,5,0.5556
sci,english-dominant,9,5,0.5556
efe,neutral,9,5,0.5556
ier,german-dominant,9,5,0.5556
ctu,english-dominant,9,5,0.5556
uit,english-dominant,9,5,0.5556
shi,english-dominant,9,5,0.5556
sto,english-dominant,18,10,0.5556
tia,neutral,9,5,0.5556
add,english-dominant,9,5,0.5556
thy,english-dominant,9,5,0.5556
ick,neutral,9,5,0.5556
tle,neutral,9,5,0.5556
cip,english-dominant,9,5,0.5556
hem,english-dominant,20,11,0.55
pos,neutral,20,11,0.55
sho,english-dominant,31,17,0.5484
ert,neutral,11,6,0.5455
wen,german-dominant,11,6,0.5455
evi,english-dominant,11,6,0.5455
isa,english-dominant,11,6,0.5455
spi,neutral,11,6,0.5455
iat,english-dominant,11,6,0.5455
rmi,neutral,11,6,0.5455
sec,neutral,11,6,0.5455
our,english-dominant,66,36,0.5455
nes,neutral,11,6,0.5455
off,neutral,22,12,0.5455
tow,english-dominant,11,6,0.5455
rim,neutral,13,7,0.5385
hro,neutral,13,7,0.5385
air,english-dominant,13,7,0.5385
way,english-dominant,13,7,0.5385
yes,english-dominant,13,7,0.5385
cul,english-dominant,15,8,0.5333
tly,english-dominant,15,8,0.5333
cri,english-dominant,15,8,0.5333
ean,neutral,15,8,0.5333
ppo,english-dominant,15,8,0.5333
arl,english-dominant,15,8,0.5333
hav,english-dominant,47,25,0.5319
ect,english-dominant,32,17,0.5312
hou,english-dominant,49,26,0.5306
lon,english-dominant,17,9,0.5294
ont,english-dominant,19,10,0.5263
onl,english-dominant,19,10,0.5263
omp,neutral,19,10,0.5263
kin,english-dominant,19,10,0.5263
con,english-dominant,59,31,0.5254
tho,english-dominant,40,21,0.525
rth,english-dominant,21,11,0.5238
ook,english-dominant,21,11,0.5238
rou,english-dominant,44,23,0.5227
ard,english-dominant,25,13,0.52
ith,english-dominant,85,44,0.5176
oug,english-dominant,45,23,0.5111
dee,neutral,8,4,0.5
nla,neutral,2,1,0.5
sha,english-dominant,12,6,0.5
gis,neutral,2,1,0.5
ogi,neutral,2,1,0.5
log,neutral,2,1,0.5
pis,german-dominant,2,1,0.5
nwe,german-dominant,2,1,0.5
mom,neutral,4,2,0.5
oft,english-dominant,4,2,0.5
elg,neutral,2,1,0.5
ais,neutral,4,2,0.5
dne,neutral,2,1,0.5
cem,english-dominant,2,1,0.5
aus,german-dominant,2,1,0.5
ndi,neutral,18,9,0.5
pen,neutral,16,8,0.5
ffr,english-dominant,4,2,0.5
atc,english-dominant,8,4,0.5
sea,english-dominant,10,5,0.5
adl,english-dominant,4,2,0.5
bad,english-dominant,2,1,0.5
ubt,neutral,2,1,0.5
fun,german-dominant,2,1,0.5
cus,english-dominant,6,3,0.5
dyi,english-dominant,2,1,0.5
stu,german-dominant,12,6,0.5
ego,english-dominant,4,2,0.5
cot,english-dominant,2,1,0.5
xid,english-dominant,2,1,0.5
oxi,neutral,2,1,0.5
sep,english-dominant,2,1,0.5
rdi,neutral,4,2,0.5
lik,neutral,10,5,0.5
rar,neutral,6,3,0.5
cte,english-dominant,16,8,0.5
sks,english-dominant,2,1,0.5
tsk,neutral,2,1,0.5
cks,neutral,2,1,0.5
ock,neutral,10,5,0.5
arg,neutral,12,6,0.5
lag,neutral,2,1,0.5
acc,english-dominant,8,4,0.5
rtm,neutral,4,2,0.5
alf,english-dominant,6,3,0.5
usu,neutral,2,1,0.5
erh,neutral,2,1,0.5
itu,neutral,8,4,0.5
zen,german-dominant,2,1,0.5
cat,english-dominant,10,5,0.5
nou,english-dominant,6,3,0.5
oeo,english-dominant,4,2,0.5
moe,english-dominant,4,2,0.5
dde,neutral,2,1,0.5
iba,neutral,2,1,0.5
igm,neutral,2,1,0.5
oki,english-dominant,4,2,0.5
abr,neutral,2,1,0.5
bon,english-dominant,2,1,0.5
scl,english-dominant,2,1,0.5
ury,english-dominant,2,1,0.5
tip,neutral,2,1,0.5
rod,neutral,4,2,0.5
loc,neutral,2,1,0.5
kne,english-dominant,2,1,0.5
yte,english-dominant,2,1,0.5
slo,neutral,2,1,0.5
sch,german-dominant,2,1,0.5
gna,neutral,4,2,0.5
ela,neutral,6,3,0.5
ddr,neutral,2,1,0.5
aos,neutral,2,1,0.5
gas,english-dominant,2,1,0.5
let,english-dominant,14,7,0.5
esn,neutral,2,1,0.5
ets,neutral,4,2,0.5
rfo,neutral,2,1,0.5
gai,english-dominant,12,6,0.5
rbi,german-dominant,2,1,0.5
nut,german-dominant,2,1,0.5
sua,english-dominant,4,2,0.5
eta,neutral,6,3,0.5
sun,german-dominant,2,1,0.5
thl,english-dominant,2,1,0.5
sap,english-dominant,4,2,0.5
ifu,english-dominant,2,1,0.5
tev,neutral,2,1,0.5
wei,german-dominant,4,2,0.5
pou,english-dominant,2,1,0.5
fty,english-dominant,2,1,0.5
lab,english-dominant,6,3,0.5
ila,english-dominant,6,3,0.5
wet,neutral,2,1,0.5
dra,neutral,4,2,0.5
nsw,english-dominant,2,1,0.5
osp,neutral,6,3,0.5
ywa,english-dominant,2,1,0.5
nyw,english-dominant,2,1,0.5
ane,neutral,6,3,0.5
mod,neutral,2,1,0.5
jor,english-dominant,2,1,0.5
ajo,english-dominant,2,1,0.5
stl,neutral,2,1,0.5
mba,neutral,2,1,0.5
squ,english-dominant,2,1,0.5
hid,english-dominant,2,1,0.5
ada,english-dominant,4,2,0.5
eda,neutral,2,1,0.5
pte,neutral,2,1,0.5
ntl,neutral,10,5,0.5
rwa,neutral,6,3,0.5
cea,english-dominant,2,1,0.5
ory,english-dominant,12,6,0.5
cut,english-dominant,2,1,0.5
ket,english-dominant,4,2,0.5
cke,neutral,8,4,0.5
urp,english-dominant,2,1,0.5
