prediction,ground_truth,diff_ops,error_ngrams
rader glowed. Eecaimallug ninnte pot,radar glowed . Occasionally minute spots,"[('replace', 3, 4, 3, 4), ('insert', 12, 12, 12, 13), ('replace', 14, 16, 15, 17), ('insert', 18, 18, 19, 20), ('replace', 19, 20, 21, 23), ('replace', 23, 25, 26, 27), ('replace', 26, 27, 28, 29), ('replace', 29, 30, 31, 32), ('insert', 33, 33, 35, 36), ('insert', 36, 36, 39, 40)]","[(('da', 'neutral'), 1), (('ar', 'neutral'), 1), (('ca', 'english-dominant'), 1), (('as', 'neutral'), 1), (('si', 'neutral'), 1), (('na', 'neutral'), 1), (('al', 'neutral'), 1), (('ll', 'neutral'), 1), (('ly', 'english-dominant'), 1), (('mi', 'neutral'), 1), (('in', 'neutral'), 1), (('te', 'neutral'), 1), (('sp', 'neutral'), 1)]"
m Kona fatbern miden & mentaim nach it dinompand kom tiha sntoly,"on those fifteen miles of mountain roads , it disappeared from the earthly","[('delete', 0, 3, 0, 0), ('replace', 5, 6, 2, 8), ('replace', 8, 9, 10, 12), ('delete', 10, 11, 13, 13), ('replace', 12, 13, 14, 15), ('replace', 17, 18, 19, 20), ('replace', 19, 20, 21, 22), ('replace', 21, 22, 23, 25), ('replace', 24, 25, 27, 29), ('replace', 29, 30, 33, 34), ('replace', 31, 32, 35, 37), ('replace', 33, 35, 38, 42), ('replace', 41, 44, 48, 50), ('insert', 45, 45, 51, 53), ('replace', 46, 47, 54, 56), ('replace', 49, 50, 58, 60), ('delete', 54, 55, 64, 64), ('insert', 56, 56, 65, 68), ('replace', 57, 60, 69, 70), ('replace', 61, 62, 71, 72)]","[(('on', 'neutral'), 1), (('ho', 'english-dominant'), 1), (('os', 'neutral'), 1), (('fi', 'neutral'), 1), (('if', 'neutral'), 1), (('ft', 'neutral'), 1), (('te', 'neutral'), 1), (('mi', 'neutral'), 1), (('il', 'neutral'), 1), (('le', 'neutral'), 1), (('es', 'neutral'), 1), (('of', 'english-dominant'), 1), (('un', 'german-dominant'), 1), (('nt', 'neutral'), 1), (('ta', 'neutral'), 1), (('ai', 'english-dominant'), 1), (('in', 'neutral'), 1), (('it', 'neutral'), 1), (('di', 'neutral'), 1), (('sa', 'neutral'), 1), (('ap', 'english-dominant'), 1), (('ar', 'neutral'), 1), (('re', 'neutral'), 1), (('ed', 'neutral'), 1), (('fr', 'neutral'), 1), (('ro', 'neutral'), 1), (('om', 'neutral'), 1)]"
Hhose chauged milh the erine . It is dear,those charged with the crime . It is clear,"[('replace', 0, 1, 0, 1), ('replace', 9, 10, 9, 10), ('replace', 14, 15, 14, 15), ('replace', 16, 17, 16, 17), ('replace', 23, 24, 23, 24), ('replace', 26, 27, 26, 27), ('replace', 37, 38, 37, 39)]","[(('th', 'english-dominant'), 2), (('ar', 'neutral'), 1), (('rg', 'neutral'), 1), (('wi', 'neutral'), 1), (('it', 'neutral'), 1), (('cr', 'english-dominant'), 1), (('im', 'neutral'), 1), (('me', 'neutral'), 1), (('cl', 'english-dominant'), 1)]"
hompeopathy had been brught 1o hin ndue.,homoeopathy had been brought to his notice .,"[('replace', 3, 4, 3, 4), ('insert', 23, 23, 23, 24), ('replace', 28, 29, 29, 30), ('replace', 33, 34, 34, 35), ('replace', 36, 38, 37, 41), ('insert', 39, 39, 42, 43)]","[(('mo', 'neutral'), 1), (('oe', 'english-dominant'), 1), (('ro', 'neutral'), 1), (('hi', 'english-dominant'), 1), (('is', 'neutral'), 1), (('no', 'english-dominant'), 1), (('ot', 'english-dominant'), 1), (('ti', 'neutral'), 1)]"
"wan heue, s undertand, beit an express hook","was here , I understand , but an express took","[('replace', 2, 3, 2, 3), ('replace', 6, 7, 6, 7), ('insert', 8, 8, 8, 9), ('replace', 10, 11, 11, 12), ('insert', 17, 17, 18, 19), ('insert', 21, 21, 23, 24), ('replace', 24, 26, 27, 28), ('replace', 39, 40, 41, 42)]","[(('as', 'neutral'), 1), (('er', 'neutral'), 2), (('re', 'neutral'), 1), (('an', 'neutral'), 1), (('ss', 'neutral'), 1)]"
Subject of no littee importance Ao Abe Romaus,subject of no little importance to the Romans .,"[('replace', 0, 1, 0, 1), ('replace', 18, 19, 18, 19), ('replace', 32, 33, 32, 33), ('replace', 35, 37, 35, 37), ('replace', 43, 44, 43, 44), ('insert', 45, 45, 45, 47)]","[(('su', 'neutral'), 1), (('tl', 'neutral'), 1), (('le', 'neutral'), 1), (('to', 'english-dominant'), 1), (('th', 'english-dominant'), 1), (('he', 'neutral'), 1), (('an', 'neutral'), 1), (('ns', 'neutral'), 1)]"
(Stamp Department) while Sally sulked ad. home,( Stamp Department ) while Sally sulked at home .,"[('insert', 1, 1, 1, 2), ('insert', 17, 17, 18, 19), ('replace', 39, 41, 41, 42), ('insert', 46, 46, 47, 49)]","[(('nt', 'neutral'), 1), (('at', 'neutral'), 1), (('me', 'neutral'), 1)]"
"speneing on zrmzments, znd ger","spending on armaments , and our","[('replace', 4, 5, 4, 5), ('replace', 12, 13, 12, 13), ('replace', 15, 16, 15, 16), ('insert', 21, 21, 21, 22), ('replace', 23, 24, 24, 25), ('replace', 27, 29, 28, 30)]","[(('nd', 'neutral'), 1), (('di', 'neutral'), 1), (('ar', 'neutral'), 1), (('ma', 'neutral'), 1), (('am', 'neutral'), 1), (('ou', 'english-dominant'), 1)]"
Mr. Harball fron the back seat.,Mr. Hayball from the back seat .,"[('replace', 6, 7, 6, 7), ('replace', 15, 16, 15, 16), ('insert', 30, 30, 30, 31)]","[(('ay', 'english-dominant'), 1), (('yb', 'english-dominant'), 1), (('om', 'neutral'), 1)]"
"Jou meont, Contamia, Do von want voaut freedom in Orden","you meant , cara mia . Do you want your freedom in order","[('replace', 0, 1, 0, 1), ('replace', 6, 7, 6, 7), ('insert', 9, 9, 9, 10), ('replace', 11, 15, 12, 13), ('insert', 16, 16, 14, 17), ('replace', 19, 20, 20, 22), ('replace', 24, 25, 26, 27), ('replace', 26, 27, 28, 29), ('replace', 33, 34, 35, 36), ('delete', 35, 36, 37, 37), ('replace', 37, 38, 38, 39), ('replace', 50, 51, 51, 52), ('replace', 54, 55, 55, 56)]","[(('yo', 'english-dominant'), 3), (('ea', 'english-dominant'), 1), (('an', 'neutral'), 1), (('ca', 'english-dominant'), 1), (('ar', 'neutral'), 1), (('ra', 'neutral'), 1), (('ia', 'neutral'), 1), (('nt', 'neutral'), 1), (('ou', 'english-dominant'), 1), (('ur', 'neutral'), 1), (('de', 'german-dominant'), 1), (('er', 'neutral'), 1)]"
up au that.,up on that .,"[('replace', 3, 5, 3, 5), ('insert', 10, 10, 10, 11)]","[(('on', 'neutral'), 1)]"
and Hhin matehed reasernably mell mith,and this matched reasonably well with,"[('replace', 4, 5, 4, 5), ('replace', 7, 8, 7, 8), ('replace', 12, 13, 12, 13), ('replace', 21, 23, 21, 22), ('replace', 29, 30, 28, 29), ('replace', 34, 35, 33, 34)]","[(('th', 'english-dominant'), 1), (('is', 'neutral'), 1), (('tc', 'english-dominant'), 1), (('ch', 'german-dominant'), 1), (('so', 'neutral'), 1), (('on', 'neutral'), 1), (('na', 'neutral'), 1), (('we', 'neutral'), 1), (('el', 'neutral'), 1), (('wi', 'neutral'), 1), (('it', 'neutral'), 1)]"
and for her species m Uhe same,and for other species in the same,"[('insert', 8, 8, 8, 10), ('replace', 20, 21, 22, 24), ('replace', 22, 23, 25, 26)]","[(('es', 'neutral'), 1), (('in', 'neutral'), 1)]"
"Leatber, is raised hydraulieally ter bring","leather , is raised hydraulically to bring","[('replace', 0, 1, 0, 1), ('replace', 4, 5, 4, 5), ('insert', 7, 7, 7, 8), ('replace', 27, 28, 28, 29), ('replace', 34, 36, 35, 36)]","[(('le', 'neutral'), 1), (('th', 'english-dominant'), 1), (('he', 'neutral'), 1), (('li', 'neutral'), 1), (('ic', 'neutral'), 1), (('to', 'english-dominant'), 1)]"
"herselt, we woald be altogether dearer in our",herself ; we would be altogether clearer in our,"[('replace', 6, 8, 6, 9), ('replace', 14, 15, 15, 16), ('replace', 32, 33, 33, 35)]","[(('lf', 'neutral'), 1), (('wo', 'neutral'), 1), (('ou', 'english-dominant'), 1)]"
"households occupying them, as the basis of the","households occupying them , as the basis of the","[('insert', 25, 25, 25, 26)]",[]
Burdet described to Anglesey a year or kwo later as,Burdett described to Anglesey a year or two later as,"[('insert', 5, 5, 5, 6), ('replace', 39, 40, 40, 41)]","[(('et', 'neutral'), 1)]"
"dueply Mepaguaut to au Neader, it in Niglt to","deeply repugnant to our readers , it is right to","[('replace', 1, 2, 1, 2), ('replace', 7, 8, 7, 8), ('insert', 10, 10, 10, 13), ('replace', 11, 15, 14, 15), ('replace', 20, 21, 20, 21), ('insert', 22, 22, 22, 23), ('replace', 23, 24, 24, 25), ('insert', 29, 29, 30, 32), ('replace', 35, 36, 38, 39), ('replace', 37, 38, 40, 41), ('replace', 40, 41, 43, 44)]","[(('de', 'german-dominant'), 1), (('ee', 'neutral'), 1), (('re', 'neutral'), 1), (('pu', 'neutral'), 1), (('ug', 'neutral'), 1), (('gn', 'neutral'), 1), (('na', 'neutral'), 1), (('an', 'neutral'), 1), (('nt', 'neutral'), 1), (('ou', 'english-dominant'), 1), (('ur', 'neutral'), 1), (('er', 'neutral'), 1), (('it', 'neutral'), 1), (('is', 'neutral'), 1), (('ri', 'neutral'), 1)]"
"Schod-leaing age, expessed as a pecentage ofthe","school-leaving age , expressed as a percentage of the","[('replace', 0, 1, 0, 1), ('replace', 4, 5, 4, 6), ('insert', 9, 9, 10, 11), ('insert', 16, 16, 18, 19), ('insert', 21, 21, 24, 25), ('insert', 34, 34, 38, 39), ('insert', 44, 44, 49, 50)]","[(('sc', 'german-dominant'), 1), (('oo', 'english-dominant'), 1), (('ol', 'neutral'), 1), (('ea', 'english-dominant'), 1), (('ag', 'neutral'), 2)]"
"seweity offeives, were bronglit im, Alu two","security affairs , were brought in , the two","[('replace', 2, 4, 2, 5), ('replace', 8, 9, 9, 10), ('replace', 11, 12, 12, 13), ('replace', 13, 15, 14, 15), ('insert', 16, 16, 16, 17), ('replace', 26, 27, 27, 28), ('replace', 28, 30, 29, 30), ('replace', 33, 34, 33, 35), ('replace', 36, 39, 37, 40)]","[(('ec', 'english-dominant'), 1), (('cu', 'english-dominant'), 1), (('ur', 'neutral'), 1), (('ff', 'neutral'), 1), (('fa', 'neutral'), 1), (('ai', 'english-dominant'), 1), (('ir', 'neutral'), 1), (('rs', 'neutral'), 1), (('ro', 'neutral'), 1), (('ou', 'english-dominant'), 1), (('ug', 'neutral'), 1), (('gh', 'english-dominant'), 1), (('ht', 'neutral'), 1), (('in', 'neutral'), 1), (('th', 'english-dominant'), 1), (('he', 'neutral'), 1)]"
"up. Thexe figlters"" arc in fact fighter bombers","up . These "" fighters "" are in fact fighter bombers","[('insert', 2, 2, 2, 3), ('replace', 7, 8, 8, 9), ('insert', 9, 9, 10, 12), ('replace', 13, 14, 16, 17), ('insert', 18, 18, 21, 22), ('replace', 22, 23, 26, 27)]","[(('he', 'neutral'), 1), (('es', 'neutral'), 1), (('se', 'neutral'), 1), (('fi', 'neutral'), 1), (('te', 'neutral'), 1)]"
Ihe Little Rey.,""" The Little Key . ""","[('replace', 0, 1, 0, 3), ('replace', 11, 12, 13, 14), ('insert', 14, 14, 16, 17), ('insert', 15, 15, 18, 20)]","[(('le', 'neutral'), 1), (('ey', 'english-dominant'), 1)]"
"hair ot the Empress Messalina, as she Crouched","hair of the Empress Messalina , as she crouched","[('replace', 6, 7, 6, 7), ('insert', 29, 29, 29, 30), ('replace', 38, 39, 39, 40)]","[(('of', 'english-dominant'), 1)]"
high opiniou of the octopus as an artiele f diet.,high opinion of the octopus as an article of diet .,"[('replace', 11, 12, 11, 12), ('replace', 38, 39, 38, 39), ('insert', 42, 42, 42, 43), ('insert', 48, 48, 49, 50)]","[(('on', 'neutral'), 1), (('ic', 'neutral'), 1), (('cl', 'english-dominant'), 1), (('et', 'neutral'), 1)]"
grossness und delicacy - sought inspiration at last from,grossness and delicacy - sought inspiration at last from,"[('replace', 10, 11, 10, 11)]","[(('an', 'neutral'), 1)]"
'F she Conlt - What she had fotgotten,if she could . What she had forgotten,"[('replace', 0, 2, 0, 2), ('replace', 7, 8, 7, 8), ('replace', 9, 10, 9, 10), ('replace', 11, 12, 11, 12), ('replace', 13, 14, 13, 14), ('replace', 30, 31, 30, 31)]","[(('if', 'neutral'), 1), (('co', 'english-dominant'), 1), (('ou', 'english-dominant'), 1), (('ul', 'english-dominant'), 1), (('ld', 'neutral'), 1), (('or', 'neutral'), 1), (('rg', 'neutral'), 1)]"
With a larwge blund y outh of gite,With a large blond youth of quite,"[('delete', 10, 11, 10, 10), ('replace', 16, 17, 15, 16), ('delete', 21, 22, 20, 20), ('replace', 30, 31, 28, 30)]","[(('rg', 'neutral'), 1), (('ge', 'german-dominant'), 1), (('on', 'neutral'), 1), (('nd', 'neutral'), 1), (('ou', 'english-dominant'), 1), (('ut', 'neutral'), 1), (('ui', 'english-dominant'), 1), (('it', 'neutral'), 1)]"
it is important that you wse the size of hook,it is important that you use the size of hook,"[('replace', 25, 26, 25, 26)]","[(('us', 'neutral'), 1)]"
"shops to traders, milh baaks in the Cease to","shops to traders , with breaks in the lease to","[('insert', 16, 16, 16, 17), ('replace', 18, 19, 19, 20), ('replace', 20, 21, 21, 22), ('replace', 24, 25, 25, 27), ('replace', 36, 37, 38, 39)]","[(('wi', 'neutral'), 1), (('it', 'neutral'), 1), (('br', 'neutral'), 1), (('he', 'neutral'), 1)]"
"curry, had Heir Mexired effect on us;","curry , had their desired effect on us ;","[('insert', 5, 5, 5, 6), ('replace', 11, 12, 12, 14), ('replace', 16, 17, 18, 19), ('replace', 18, 19, 20, 21), ('insert', 36, 36, 38, 39)]","[(('ir', 'neutral'), 1), (('de', 'german-dominant'), 1)]"
- -  naw Fhis sapphine -,' ... now this sapphire ...,"[('replace', 0, 1, 0, 1), ('replace', 2, 4, 2, 5), ('replace', 6, 7, 7, 8), ('replace', 9, 10, 10, 11), ('replace', 20, 21, 21, 22), ('replace', 23, 24, 24, 27)]","[(('no', 'english-dominant'), 1), (('hi', 'english-dominant'), 1), (('ir', 'neutral'), 1)]"
3. 000 a day:,"3,000 a day .","[('replace', 1, 3, 1, 2), ('replace', 12, 13, 11, 13)]",[]
"of the pro-communists, Mast of the",of the pro-communists . Most of the,"[('replace', 21, 22, 21, 23), ('replace', 24, 25, 25, 26)]",[]
ben mongh to make me Cionvcion of the,been enough to make me conscious of the,"[('insert', 1, 1, 1, 2), ('replace', 4, 5, 5, 7), ('replace', 6, 7, 8, 9), ('replace', 21, 23, 23, 24), ('replace', 25, 26, 26, 27), ('replace', 29, 30, 30, 32)]","[(('be', 'neutral'), 1), (('en', 'german-dominant'), 1), (('no', 'english-dominant'), 1), (('me', 'neutral'), 1), (('on', 'neutral'), 1), (('ns', 'neutral'), 1), (('io', 'neutral'), 1), (('ou', 'english-dominant'), 1)]"
"she Lhad an illicit relation shin), she","she had an illicit relationship ) , she","[('delete', 4, 5, 4, 4), ('delete', 28, 29, 27, 27), ('replace', 32, 33, 30, 32), ('insert', 34, 34, 33, 34)]","[(('ha', 'neutral'), 1), (('sh', 'english-dominant'), 1), (('hi', 'english-dominant'), 1)]"
