prediction,ground_truth,diff_ops,error_ngrams
to know. But thr fart vimains that git,to know . But the fact remains that get,"[('insert', 7, 7, 7, 8), ('replace', 15, 16, 16, 17), ('replace', 19, 20, 20, 21), ('replace', 22, 24, 23, 25), ('replace', 36, 37, 37, 38)]","[(('the', 'english-dominant'), 1), (('fac', 'neutral'), 1), (('act', 'english-dominant'), 1), (('rem', 'neutral'), 1), (('get', 'neutral'), 1)]"
Thexre bound to want pretty solid neu evidence,' They 're bound to want pretty solid new evidence,"[('insert', 0, 0, 0, 2), ('replace', 3, 4, 5, 8), ('replace', 36, 37, 40, 41)]","[(('hey', 'english-dominant'), 1), (('lid', 'neutral'), 1)]"
fcnmel tacks at Laucastes Hamse win,Informal talks at Lancaster House will,"[('insert', 0, 0, 0, 2), ('replace', 1, 3, 3, 5), ('replace', 4, 5, 6, 7), ('replace', 9, 10, 11, 12), ('replace', 18, 19, 20, 21), ('replace', 24, 25, 26, 27), ('replace', 27, 29, 29, 31), ('replace', 34, 35, 36, 38)]","[(('nfo', 'neutral'), 1), (('for', 'english-dominant'), 2), (('orm', 'neutral'), 1), (('rma', 'neutral'), 1), (('tal', 'neutral'), 1), (('ast', 'english-dominant'), 1), (('ste', 'neutral'), 1), (('ter', 'neutral'), 1), (('wil', 'english-dominant'), 1)]"
"says it is inevitable, thovgh profoundly","says it is inevitable , though profoundly","[('insert', 21, 21, 21, 22), ('replace', 26, 27, 27, 28)]","[(('tho', 'english-dominant'), 1), (('hou', 'english-dominant'), 1), (('oug', 'english-dominant'), 1)]"
namen - bt remäned Kheir nervaut. They had,names - but remained their servant . They had,"[('replace', 4, 5, 4, 5), ('insert', 9, 9, 9, 10), ('replace', 14, 15, 15, 17), ('replace', 19, 20, 21, 22), ('replace', 25, 26, 27, 28), ('replace', 30, 31, 32, 33), ('insert', 32, 32, 34, 35)]","[(('mes', 'neutral'), 1), (('but', 'english-dominant'), 1), (('rem', 'neutral'), 1), (('ema', 'neutral'), 1), (('mai', 'english-dominant'), 1), (('ned', 'english-dominant'), 1), (('eir', 'english-dominant'), 1), (('erv', 'neutral'), 1), (('rva', 'neutral'), 1), (('van', 'neutral'), 2), (('ant', 'neutral'), 1)]"
Au grond er voncretl Hor . I,the ground or concrete floor . I,"[('replace', 0, 2, 0, 3), ('insert', 6, 6, 7, 8), ('replace', 9, 10, 11, 12), ('replace', 12, 13, 14, 15), ('insert', 19, 19, 21, 24), ('replace', 20, 22, 25, 26)]","[(('the', 'english-dominant'), 1), (('gro', 'neutral'), 1), (('rou', 'english-dominant'), 1), (('und', 'german-dominant'), 1), (('cre', 'english-dominant'), 1), (('ret', 'english-dominant'), 2), (('ete', 'neutral'), 1)]"
jood beginieg made dt Vicuug ust be,good beginning made at Vienna must be,"[('replace', 0, 1, 0, 1), ('insert', 10, 10, 10, 11), ('replace', 11, 12, 12, 13), ('replace', 19, 20, 20, 21), ('replace', 24, 28, 25, 29), ('insert', 29, 29, 30, 31)]","[(('goo', 'english-dominant'), 1), (('inn', 'neutral'), 1), (('nni', 'neutral'), 2), (('nin', 'neutral'), 1), (('ing', 'english-dominant'), 1), (('ien', 'neutral'), 1), (('enn', 'german-dominant'), 1), (('nna', 'neutral'), 1)]"
Iurbot und to haue ban umch mowe interested in 1he,turbot and to have been much more interested in the,"[('replace', 0, 1, 0, 1), ('replace', 7, 8, 7, 8), ('replace', 16, 17, 16, 17), ('replace', 20, 21, 20, 22), ('insert', 23, 23, 24, 25), ('delete', 24, 25, 26, 26), ('replace', 30, 31, 31, 32), ('replace', 47, 48, 48, 49)]","[(('tur', 'neutral'), 1), (('and', 'neutral'), 1), (('hav', 'english-dominant'), 1), (('ave', 'english-dominant'), 1), (('bee', 'english-dominant'), 1), (('een', 'english-dominant'), 1), (('muc', 'english-dominant'), 1), (('mor', 'english-dominant'), 1), (('ore', 'english-dominant'), 1)]"
fascihating behoviour mysteries are peculiar,fascinating behaviour mysteries are peculiar,"[('replace', 5, 6, 5, 6), ('replace', 15, 16, 15, 16)]","[(('cin', 'english-dominant'), 1), (('ina', 'neutral'), 1), (('nat', 'neutral'), 1), (('eha', 'english-dominant'), 1), (('hav', 'english-dominant'), 1), (('avi', 'english-dominant'), 1)]"
"gift of uaompamenekip and Sugrunpatlug - "" gu nud","gift of companionship and sympathy - "" you need","[('replace', 8, 10, 8, 9), ('delete', 14, 16, 13, 13), ('replace', 17, 19, 14, 19), ('replace', 26, 32, 26, 29), ('replace', 35, 38, 32, 34), ('replace', 43, 44, 39, 41), ('replace', 47, 48, 44, 46)]","[(('com', 'english-dominant'), 1), (('omp', 'neutral'), 1), (('ani', 'neutral'), 1), (('nio', 'english-dominant'), 1), (('ion', 'neutral'), 1), (('ons', 'neutral'), 2), (('nsh', 'english-dominant'), 1), (('shi', 'english-dominant'), 1), (('hip', 'english-dominant'), 1), (('sym', 'neutral'), 1), (('ymp', 'english-dominant'), 1), (('mpa', 'english-dominant'), 1), (('pat', 'english-dominant'), 1), (('ath', 'english-dominant'), 1), (('thy', 'english-dominant'), 1), (('nee', 'neutral'), 1)]"
mignation is suficenty mell,migration is sufficiently well,"[('replace', 3, 4, 3, 4), ('insert', 16, 16, 16, 17), ('insert', 18, 18, 19, 20), ('insert', 21, 21, 23, 24), ('replace', 23, 24, 26, 27)]","[(('igr', 'neutral'), 1), (('gra', 'neutral'), 1), (('rat', 'neutral'), 1), (('uff', 'neutral'), 1), (('ffi', 'english-dominant'), 1), (('fic', 'english-dominant'), 1), (('ici', 'english-dominant'), 1), (('ien', 'neutral'), 1), (('ent', 'neutral'), 1), (('ntl', 'neutral'), 1), (('tly', 'english-dominant'), 1)]"
slightest effed.,slightest effect .,"[('replace', 14, 15, 14, 17)]","[(('fec', 'english-dominant'), 1), (('ect', 'english-dominant'), 1)]"
Over-emphoizing Hem. Laet nicht s Pla,over-emphasizing them . Last night's play,"[('replace', 0, 1, 0, 1), ('replace', 9, 10, 9, 11), ('replace', 16, 17, 17, 19), ('insert', 19, 19, 21, 22), ('replace', 23, 24, 26, 27), ('replace', 28, 29, 31, 32), ('replace', 31, 32, 34, 35), ('replace', 34, 35, 37, 38), ('insert', 37, 37, 40, 41)]","[(('ove', 'english-dominant'), 1), (('pha', 'neutral'), 1), (('has', 'english-dominant'), 1), (('asi', 'neutral'), 1), (('the', 'english-dominant'), 1), (('hem', 'english-dominant'), 1), (('nig', 'neutral'), 1), (('igh', 'english-dominant'), 1), (('ght', 'english-dominant'), 1)]"
rader glowed. Eecaimallug ninnte pot,radar glowed . Occasionally minute spots,"[('replace', 3, 4, 3, 4), ('insert', 12, 12, 12, 13), ('replace', 14, 16, 15, 17), ('insert', 18, 18, 19, 20), ('replace', 19, 20, 21, 23), ('replace', 23, 25, 26, 27), ('replace', 26, 27, 28, 29), ('replace', 29, 30, 31, 32), ('insert', 33, 33, 35, 36), ('insert', 36, 36, 39, 40)]","[(('ada', 'english-dominant'), 1), (('dar', 'neutral'), 1), (('cca', 'english-dominant'), 1), (('cas', 'neutral'), 2), (('asi', 'neutral'), 1), (('sio', 'neutral'), 1), (('ona', 'neutral'), 1), (('nal', 'neutral'), 1), (('all', 'neutral'), 1), (('lly', 'english-dominant'), 2), (('min', 'neutral'), 1), (('inu', 'neutral'), 1), (('ute', 'neutral'), 1), (('spo', 'neutral'), 1)]"
m Kona fatbern miden & mentaim nach it dinompand kom tiha sntoly,"on those fifteen miles of mountain roads , it disappeared from the earthly","[('delete', 0, 3, 0, 0), ('replace', 5, 6, 2, 8), ('replace', 8, 9, 10, 12), ('delete', 10, 11, 13, 13), ('replace', 12, 13, 14, 15), ('replace', 17, 18, 19, 20), ('replace', 19, 20, 21, 22), ('replace', 21, 22, 23, 25), ('replace', 24, 25, 27, 29), ('replace', 29, 30, 33, 34), ('replace', 31, 32, 35, 37), ('replace', 33, 35, 38, 42), ('replace', 41, 44, 48, 50), ('insert', 45, 45, 51, 53), ('replace', 46, 47, 54, 56), ('replace', 49, 50, 58, 60), ('delete', 54, 55, 64, 64), ('insert', 56, 56, 65, 68), ('replace', 57, 60, 69, 70), ('replace', 61, 62, 71, 72)]","[(('tho', 'english-dominant'), 1), (('hos', 'english-dominant'), 1), (('ose', 'english-dominant'), 1), (('fif', 'english-dominant'), 1), (('ift', 'neutral'), 2), (('fte', 'neutral'), 1), (('tee', 'neutral'), 1), (('mil', 'neutral'), 2), (('ile', 'neutral'), 1), (('les', 'neutral'), 2), (('oun', 'english-dominant'), 1), (('unt', 'neutral'), 1), (('nta', 'neutral'), 2), (('tai', 'english-dominant'), 1), (('ain', 'english-dominant'), 2), (('dis', 'english-dominant'), 1), (('isa', 'english-dominant'), 1), (('sap', 'english-dominant'), 1), (('app', 'english-dominant'), 1), (('ear', 'english-dominant'), 1), (('are', 'english-dominant'), 1), (('red', 'english-dominant'), 2), (('fro', 'english-dominant'), 1), (('rom', 'english-dominant'), 2)]"
Hhose chauged milh the erine . It is dear,those charged with the crime . It is clear,"[('replace', 0, 1, 0, 1), ('replace', 9, 10, 9, 10), ('replace', 14, 15, 14, 15), ('replace', 16, 17, 16, 17), ('replace', 23, 24, 23, 24), ('replace', 26, 27, 26, 27), ('replace', 37, 38, 37, 39)]","[(('tho', 'english-dominant'), 1), (('har', 'english-dominant'), 1), (('arg', 'neutral'), 1), (('rge', 'neutral'), 1), (('wit', 'english-dominant'), 2), (('ith', 'english-dominant'), 1), (('cri', 'english-dominant'), 1), (('rim', 'neutral'), 1), (('ime', 'neutral'), 1), (('cle', 'english-dominant'), 1)]"
hompeopathy had been brught 1o hin ndue.,homoeopathy had been brought to his notice .,"[('replace', 3, 4, 3, 4), ('insert', 23, 23, 23, 24), ('replace', 28, 29, 29, 30), ('replace', 33, 34, 34, 35), ('replace', 36, 38, 37, 41), ('insert', 39, 39, 42, 43)]","[(('omo', 'neutral'), 1), (('moe', 'english-dominant'), 1), (('oeo', 'english-dominant'), 1), (('bro', 'english-dominant'), 1), (('rou', 'english-dominant'), 1), (('his', 'english-dominant'), 1), (('not', 'english-dominant'), 1), (('oti', 'neutral'), 2), (('tic', 'english-dominant'), 1)]"
"wan heue, s undertand, beit an express hook","was here , I understand , but an express took","[('replace', 2, 3, 2, 3), ('replace', 6, 7, 6, 7), ('insert', 8, 8, 8, 9), ('replace', 10, 11, 11, 12), ('insert', 17, 17, 18, 19), ('insert', 21, 21, 23, 24), ('replace', 24, 26, 27, 28), ('replace', 39, 40, 41, 42)]","[(('was', 'english-dominant'), 1), (('her', 'neutral'), 1), (('ere', 'neutral'), 1), (('der', 'german-dominant'), 1), (('ers', 'neutral'), 1), (('tan', 'neutral'), 1), (('and', 'neutral'), 1), (('ess', 'neutral'), 1)]"
Subject of no littee importance Ao Abe Romaus,subject of no little importance to the Romans .,"[('replace', 0, 1, 0, 1), ('replace', 18, 19, 18, 19), ('replace', 32, 33, 32, 33), ('replace', 35, 37, 35, 37), ('replace', 43, 44, 43, 44), ('insert', 45, 45, 45, 47)]","[(('sub', 'neutral'), 1), (('ttl', 'english-dominant'), 1), (('tle', 'neutral'), 1), (('the', 'english-dominant'), 1), (('man', 'neutral'), 1), (('ans', 'neutral'), 1)]"
(Stamp Department) while Sally sulked ad. home,( Stamp Department ) while Sally sulked at home .,"[('insert', 1, 1, 1, 2), ('insert', 17, 17, 18, 19), ('replace', 39, 41, 41, 42), ('insert', 46, 46, 47, 49)]","[(('ent', 'neutral'), 1), (('ome', 'english-dominant'), 1)]"
"speneing on zrmzments, znd ger","spending on armaments , and our","[('replace', 4, 5, 4, 5), ('replace', 12, 13, 12, 13), ('replace', 15, 16, 15, 16), ('insert', 21, 21, 21, 22), ('replace', 23, 24, 24, 25), ('replace', 27, 29, 28, 30)]","[(('end', 'german-dominant'), 1), (('ndi', 'neutral'), 1), (('din', 'neutral'), 1), (('arm', 'neutral'), 1), (('rma', 'neutral'), 1), (('mam', 'neutral'), 1), (('ame', 'neutral'), 1), (('our', 'english-dominant'), 1)]"
Mr. Harball fron the back seat.,Mr. Hayball from the back seat .,"[('replace', 6, 7, 6, 7), ('replace', 15, 16, 15, 16), ('insert', 30, 30, 30, 31)]","[(('ayb', 'english-dominant'), 1), (('yba', 'english-dominant'), 1), (('rom', 'english-dominant'), 1)]"
"Jou meont, Contamia, Do von want voaut freedom in Orden","you meant , cara mia . Do you want your freedom in order","[('replace', 0, 1, 0, 1), ('replace', 6, 7, 6, 7), ('insert', 9, 9, 9, 10), ('replace', 11, 15, 12, 13), ('insert', 16, 16, 14, 17), ('replace', 19, 20, 20, 22), ('replace', 24, 25, 26, 27), ('replace', 26, 27, 28, 29), ('replace', 33, 34, 35, 36), ('delete', 35, 36, 37, 37), ('replace', 37, 38, 38, 39), ('replace', 50, 51, 51, 52), ('replace', 54, 55, 55, 56)]","[(('you', 'english-dominant'), 4), (('mea', 'english-dominant'), 1), (('ean', 'neutral'), 1), (('ant', 'neutral'), 2), (('car', 'english-dominant'), 1), (('ara', 'neutral'), 1), (('mia', 'english-dominant'), 1), (('our', 'english-dominant'), 1), (('rde', 'german-dominant'), 1), (('der', 'german-dominant'), 1)]"
up au that.,up on that .,"[('replace', 3, 5, 3, 5), ('insert', 10, 10, 10, 11)]",[]
and Hhin matehed reasernably mell mith,and this matched reasonably well with,"[('replace', 4, 5, 4, 5), ('replace', 7, 8, 7, 8), ('replace', 12, 13, 12, 13), ('replace', 21, 23, 21, 22), ('replace', 29, 30, 28, 29), ('replace', 34, 35, 33, 34)]","[(('thi', 'english-dominant'), 1), (('his', 'english-dominant'), 1), (('atc', 'english-dominant'), 1), (('tch', 'english-dominant'), 1), (('che', 'german-dominant'), 1), (('aso', 'english-dominant'), 1), (('son', 'neutral'), 1), (('ona', 'neutral'), 1), (('nab', 'neutral'), 1), (('wel', 'neutral'), 1), (('ell', 'neutral'), 1), (('wit', 'english-dominant'), 1), (('ith', 'english-dominant'), 1)]"
and for her species m Uhe same,and for other species in the same,"[('insert', 8, 8, 8, 10), ('replace', 20, 21, 22, 24), ('replace', 22, 23, 25, 26)]","[(('ies', 'neutral'), 1)]"
"Leatber, is raised hydraulieally ter bring","leather , is raised hydraulically to bring","[('replace', 0, 1, 0, 1), ('replace', 4, 5, 4, 5), ('insert', 7, 7, 7, 8), ('replace', 27, 28, 28, 29), ('replace', 34, 36, 35, 36)]","[(('lea', 'english-dominant'), 1), (('ath', 'english-dominant'), 1), (('the', 'english-dominant'), 1), (('her', 'neutral'), 1), (('uli', 'neutral'), 1), (('lic', 'german-dominant'), 1), (('ica', 'english-dominant'), 1)]"
"herselt, we woald be altogether dearer in our",herself ; we would be altogether clearer in our,"[('replace', 6, 8, 6, 9), ('replace', 14, 15, 15, 16), ('replace', 32, 33, 33, 35)]","[(('elf', 'neutral'), 1), (('wou', 'english-dominant'), 1), (('oul', 'english-dominant'), 1)]"
"households occupying them, as the basis of the","households occupying them , as the basis of the","[('insert', 25, 25, 25, 26)]",[]
Burdet described to Anglesey a year or kwo later as,Burdett described to Anglesey a year or two later as,"[('insert', 5, 5, 5, 6), ('replace', 39, 40, 40, 41)]","[(('det', 'neutral'), 1), (('ett', 'english-dominant'), 1)]"
"dueply Mepaguaut to au Neader, it in Niglt to","deeply repugnant to our readers , it is right to","[('replace', 1, 2, 1, 2), ('replace', 7, 8, 7, 8), ('insert', 10, 10, 10, 13), ('replace', 11, 15, 14, 15), ('replace', 20, 21, 20, 21), ('insert', 22, 22, 22, 23), ('replace', 23, 24, 24, 25), ('insert', 29, 29, 30, 32), ('replace', 35, 36, 38, 39), ('replace', 37, 38, 40, 41), ('replace', 40, 41, 43, 44)]","[(('dee', 'neutral'), 1), (('eep', 'english-dominant'), 1), (('rep', 'english-dominant'), 1), (('epu', 'english-dominant'), 1), (('pug', 'english-dominant'), 2), (('ugn', 'neutral'), 1), (('gna', 'neutral'), 1), (('ant', 'neutral'), 1), (('our', 'english-dominant'), 2), (('der', 'german-dominant'), 1), (('ers', 'neutral'), 1), (('rig', 'neutral'), 1)]"
"Schod-leaing age, expessed as a pecentage ofthe","school-leaving age , expressed as a percentage of the","[('replace', 0, 1, 0, 1), ('replace', 4, 5, 4, 6), ('insert', 9, 9, 10, 11), ('insert', 16, 16, 18, 19), ('insert', 21, 21, 24, 25), ('insert', 34, 34, 38, 39), ('insert', 44, 44, 49, 50)]","[(('sch', 'german-dominant'), 1), (('hoo', 'english-dominant'), 1), (('ool', 'english-dominant'), 1), (('lea', 'english-dominant'), 1), (('eav', 'english-dominant'), 1), (('age', 'neutral'), 2), (('tag', 'neutral'), 1)]"
"seweity offeives, were bronglit im, Alu two","security affairs , were brought in , the two","[('replace', 2, 4, 2, 5), ('replace', 8, 9, 9, 10), ('replace', 11, 12, 12, 13), ('replace', 13, 15, 14, 15), ('insert', 16, 16, 16, 17), ('replace', 26, 27, 27, 28), ('replace', 28, 30, 29, 30), ('replace', 33, 34, 33, 35), ('replace', 36, 39, 37, 40)]","[(('sec', 'neutral'), 1), (('ecu', 'english-dominant'), 1), (('cur', 'english-dominant'), 1), (('uri', 'neutral'), 1), (('aff', 'neutral'), 1), (('ffa', 'neutral'), 1), (('fai', 'english-dominant'), 2), (('air', 'english-dominant'), 1), (('irs', 'english-dominant'), 1), (('bro', 'english-dominant'), 1), (('rou', 'english-dominant'), 1), (('oug', 'english-dominant'), 2), (('ugh', 'english-dominant'), 1), (('ght', 'english-dominant'), 1), (('the', 'english-dominant'), 1)]"
"up. Thexe figlters"" arc in fact fighter bombers","up . These "" fighters "" are in fact fighter bombers","[('insert', 2, 2, 2, 3), ('replace', 7, 8, 8, 9), ('insert', 9, 9, 10, 12), ('replace', 13, 14, 16, 17), ('insert', 18, 18, 21, 22), ('replace', 22, 23, 26, 27)]","[(('hes', 'english-dominant'), 1), (('ese', 'neutral'), 2), (('fig', 'neutral'), 1), (('hte', 'german-dominant'), 1), (('ter', 'neutral'), 1)]"
Ihe Little Rey.,""" The Little Key . ""","[('replace', 0, 1, 0, 3), ('replace', 11, 12, 13, 14), ('insert', 14, 14, 16, 17), ('insert', 15, 15, 18, 20)]","[(('tle', 'neutral'), 1)]"
"hair ot the Empress Messalina, as she Crouched","hair of the Empress Messalina , as she crouched","[('replace', 6, 7, 6, 7), ('insert', 29, 29, 29, 30), ('replace', 38, 39, 39, 40)]",[]
high opiniou of the octopus as an artiele f diet.,high opinion of the octopus as an article of diet .,"[('replace', 11, 12, 11, 12), ('replace', 38, 39, 38, 39), ('insert', 42, 42, 42, 43), ('insert', 48, 48, 49, 50)]","[(('ion', 'neutral'), 1), (('tic', 'english-dominant'), 1), (('icl', 'english-dominant'), 1), (('cle', 'english-dominant'), 1), (('iet', 'neutral'), 1)]"
grossness und delicacy - sought inspiration at last from,grossness and delicacy - sought inspiration at last from,"[('replace', 10, 11, 10, 11)]","[(('and', 'neutral'), 1)]"
'F she Conlt - What she had fotgotten,if she could . What she had forgotten,"[('replace', 0, 2, 0, 2), ('replace', 7, 8, 7, 8), ('replace', 9, 10, 9, 10), ('replace', 11, 12, 11, 12), ('replace', 13, 14, 13, 14), ('replace', 30, 31, 30, 31)]","[(('cou', 'english-dominant'), 2), (('oul', 'english-dominant'), 1), (('uld', 'english-dominant'), 2), (('for', 'english-dominant'), 1), (('org', 'german-dominant'), 1), (('rgo', 'neutral'), 1)]"
With a larwge blund y outh of gite,With a large blond youth of quite,"[('delete', 10, 11, 10, 10), ('replace', 16, 17, 15, 16), ('delete', 21, 22, 20, 20), ('replace', 30, 31, 28, 30)]","[(('arg', 'neutral'), 1), (('rge', 'neutral'), 1), (('lon', 'english-dominant'), 1), (('ond', 'neutral'), 1), (('you', 'english-dominant'), 1), (('out', 'english-dominant'), 1), (('uth', 'english-dominant'), 1), (('qui', 'english-dominant'), 1), (('uit', 'english-dominant'), 1), (('ite', 'neutral'), 1)]"
it is important that you wse the size of hook,it is important that you use the size of hook,"[('replace', 25, 26, 25, 26)]","[(('use', 'english-dominant'), 1)]"
"shops to traders, milh baaks in the Cease to","shops to traders , with breaks in the lease to","[('insert', 16, 16, 16, 17), ('replace', 18, 19, 19, 20), ('replace', 20, 21, 21, 22), ('replace', 24, 25, 25, 27), ('replace', 36, 37, 38, 39)]","[(('wit', 'english-dominant'), 1), (('ith', 'english-dominant'), 1), (('bre', 'neutral'), 1), (('the', 'english-dominant'), 1)]"
"curry, had Heir Mexired effect on us;","curry , had their desired effect on us ;","[('insert', 5, 5, 5, 6), ('replace', 11, 12, 12, 14), ('replace', 16, 17, 18, 19), ('replace', 18, 19, 20, 21), ('insert', 36, 36, 38, 39)]","[(('eir', 'english-dominant'), 1), (('des', 'neutral'), 1)]"
- -  naw Fhis sapphine -,' ... now this sapphire ...,"[('replace', 0, 1, 0, 1), ('replace', 2, 4, 2, 5), ('replace', 6, 7, 7, 8), ('replace', 9, 10, 10, 11), ('replace', 20, 21, 21, 22), ('replace', 23, 24, 24, 27)]","[(('now', 'english-dominant'), 1), (('phi', 'english-dominant'), 1), (('hir', 'neutral'), 1), (('ire', 'english-dominant'), 1)]"
3. 000 a day:,"3,000 a day .","[('replace', 1, 3, 1, 2), ('replace', 12, 13, 11, 13)]",[]
"of the pro-communists, Mast of the",of the pro-communists . Most of the,"[('replace', 21, 22, 21, 23), ('replace', 24, 25, 25, 26)]",[]
